35.01.01.2001                                                                             1 Widoro
35.15.13.2013                                                                        12 Tawangsari
35.15.13.2014                                                                              13 Gilang
35.15.13.1015                                                     2 Geluran
35.15.13.2016                                                                              14 Kletek
35.15.13.1017                                                     3 Kalijaten
35.15.13.1018                                                     4 Ketegan
35.15.13.1019                                                     5 Sepanjang
35.15.13.1020                                                     6 Bebekan
35.15.13.1021                                                     7 Wonocolo
35.15.13.1022                                                     8 Ngelom
35.15.13.2023                                                                              15 Tanjungsari
35.15.13.2024                                                                              16 Krembangan
35.15.14.2001                                                                               1 Wilayut
35.15.14.2002                                                                               2 Kebonagung
35.15.14.2003                                                                               3 Anggaswangi
35.15.14.2004                                                                               4 Jumputrejo
35.15.14.2005                                                                               5 Suruh
35.15.14.2006                                                                               6 Pekarungan
35.15.14.2007                                                                               7 Pademonegoro
35.15.14.2008                                                                               8 Cangkringsari
35.15.14.2009                                                                               9 Jogosatru
35.15.14.2010                                                                              10 Ngaresrejo
35.15.14.2011                                                                              11 Sambungrejo
35.15.14.2012                                                                              12 Plumbungan
35.15.14.2013                                                                              13 Sukodono
35.15.14.2014                                                                              14 Kloposepuluh
35.15.14.2015                                                                              15 Masanganwetan
35.15.14.2016                                                                              16 Suko
35.15.14.2017                                                                              17 Masangankulon
35.15.14.2018                                                                              18 Panjunan
35.15.14.2019                                                                              19 Bangsri
35.15.15.2001                                                                               1 Entalsewu
35.15.15.2002                                                                               2 Pagerwojo
35.15.15.2003                                                                        3 Sidokerto
35.15.15.2004                                                                        4 Buduran
35.15.15.2005                                                                        5 Siwalanpanji
35.15.15.2006                                                                        6 Sidomulyo
35.15.15.2007                                                                        7 Prasung
35.15.15.2008                                                                        8 Sawohan
35.15.15.2009                                                                        9 Damarsi
35.15.15.2010                                                                       10 Dukuhtengah
35.15.15.2011                                                                       11 Banjarsari
35.15.15.2012                                                                       12 Wadungasih
35.15.15.2013                                                                       13 Banjarkemantren
35.15.15.2014                                                                       14 Sukorejo
35.15.15.2015                                                                       15 Sidokepung
35.15.16.2001                                                                        1 Ganting
35.15.16.2002                                                                        2 Karangbong
35.15.16.2003                                                                        3 Tebel
35.15.16.2004                                                                        4 Kragan
35.15.16.2005                                                                        5 Gemurung
35.15.16.2006                                                                        6 Punggul
35.15.16.2007                                                                        7 Wedi
35.15.16.2008                                                                        8 Ketajen
35.15.16.2009                                                                        9 Gedangan
35.15.16.2010                                                                       10 Sruni
35.15.16.2011                                                                       11 Keboansikep
35.15.16.2012                                                                       12 Keboananom
35.15.16.2013                                                                       13 Bangah
35.15.16.2014                                                                       14 Sawotratap
35.15.16.2015                                                                       15 Semambung
35.15.17.2001                                                                        1 Kwangsan
35.15.17.2002                                                                        2 Pepe
35.15.17.2003                                                                        3 Buncitan
35.15.17.2004                                                                        4 Kalanganyar
35.15.17.2005                                                                                5 Tambakcemandi
35.15.17.2006                                                                                6 Gisik Cemandi
35.15.17.2007                                                                                7 Cemandi
35.15.17.2008                                                                                8 Pulungan
35.15.17.2009                                                                                9 Betro
35.15.17.2010                                                                               10 Sedatiagung
35.15.17.2011                                                                               11 Sedatigede
35.15.17.2012                                                                               12 Pabean
35.15.17.2013                                                                               13 Semampir
35.15.17.2014                                                                               14 Pranti
35.15.17.2015                                                                               15 Segorotambak
35.15.17.2016                                                                               16 Banjarkemuning
35.15.18.2001                                                                                1 Pepelegi
35.15.18.2002                                                                                2 Waru
35.15.18.2003                                                                                3 Kureksari
35.15.18.2004                                                                                4 Ngingas
35.15.18.2005                                                                                5 Tropodo
35.15.18.2006                                                                                6 Tambaksawah
35.15.18.2007                                                                                7 Tambakrejo
35.15.18.2008                                                                                8 Tambakoso
35.15.18.2009                                                                                9 Tambaksumur
35.15.18.2010                                                                               10 Wadungasri
35.15.18.2011                                                                               11 Kepuhkiriman
35.15.18.2012                                                                               12 Berbek
35.15.18.2013                                                                               13 Wedoro
35.15.18.2014                                                                               14 Janti
35.15.18.2015                                                                               15 Kedungrejo
35.15.18.2016                                                                               16 Medaeng
35.15.18.2017                                                                               17 Bungurasih
35.16.01.2001                                                                                1 Tawangrejo
35.16.01.2002                                                                       2 Rejosari
35.16.01.2003                                                                       3 Jembul
35.16.01.2004                                                                       4 Manting
35.16.01.2005                                                                       5 Sumberjati
35.16.01.2006                                                                       6 Lebakjabung
35.16.01.2007                                                                       7 Bleberan
35.16.01.2008                                                                       8 Sumberagung                              Perbaikan nama, Srt No 140/416-011/2016 tgl mei 2016
35.16.01.2009                                                                       9 Baureno
35.16.01.2010                                                                      10 Jatirejo
35.16.01.2011                                                                      11 Dukuhngarjo
35.16.01.2012                                                                      12 Gading
35.16.01.2013                                                                      13 Kumitir
35.16.01.2014                                                                      14 Sumengko
35.16.01.2015                                                                      15 Gebangsari
35.16.01.2016                                                                      16 Dinoyo
35.16.01.2017                                                                      17 Padangasri
35.16.01.2018                                                                      18 Mojogeneng
35.16.01.2019                                                                      19 Karangjeruk
35.16.02.2001                                                                       1 Gumeng
35.16.02.2002                                                                       2 Begaganlimo
35.16.02.2003                                                                       3 Kalikatir
35.16.02.2004                                                                       4 Dilem
35.16.02.2005                                                                       5 Ngembat
35.16.02.2006                                                                       6 Jatidukuh
35.16.02.2007                                                                       7 Bening
35.16.02.2008                                                                       8 Karangkuten
35.16.02.2009                                                                       9 Tawar
35.16.02.2010                                                                      10 Pohjejer
35.16.02.2011                                                                      11 Wonoploso
35.16.02.2012                                                                      12 Pugeran
35.16.02.2013                                                                      13 Gondang
35.16.02.2014                                                                      14 Kebontunggul
35.16.02.2015                                                                      15 Kemasantani
35.16.02.2016                                                                      16 Padi
35.16.02.2017                                                                      17 Bakalan
35.16.02.2018                                                                      18 Centong
35.16.03.2001                                                                       1 Kemiri
35.16.03.2002                                                                       2 Wiyu
35.16.03.2003                                                                       3 Kesimantengah
35.16.03.2004                                                                       4 Sajen
35.16.03.2005                                                                       5 Pacet
35.16.03.2006                                                                       6 Padusan
35.16.03.2007                                                                       7 Cepokolimo
35.16.03.2008                                                                       8 Claket
35.16.03.2009                                                                       9 Cembor
35.16.03.2010                                                                      10 Nogosari
35.16.03.2011                                                                      11 Kembangbelor
35.16.03.2012                                                                      12 Mojokembang
35.16.03.2013                                                                      13 Bendunganjati
35.16.03.2014                                                                      14 Petak
35.16.03.2015                                                                      15 Candiwatu
35.16.03.2016                                                                      16 Warugunung
35.16.03.2017                                                                      17 Tanjungkenongo
35.16.03.2018                                                                      18 Sumberkembar
35.16.03.2019                                                                      19 Kuripansari
35.16.03.2020                                                                      20 Pandanarum
35.16.04.2001                                                                       1 Ketapanrame
35.16.04.2002                                                                       2 Trawas
35.16.04.2003                                                                       3 Selotapak
35.16.04.2004                                                                       4 Tamiajeng
35.16.04.2005                                                                       5 Kesiman
35.16.04.2006                                                                       6 Belik
35.16.04.2007                                                                       7 Duyung
35.16.04.2008                                                                       8 Penanggungan                               Perbaikan nama, Srt No 140/416-011/2016 tgl mei 2016
35.16.04.2009                                                                       9 Kedungudi
35.16.04.2010                                                                      10 Sukosari
35.16.04.2011                                                                      11 Jatijejer
35.16.04.2012                                                                      12 Sugeng
35.16.04.2013                                                                      13 Seloliman
35.16.05.2001                                                                       1 Srigading
35.16.05.2002                                                                       2 Kesemen
35.16.05.2003                                                                       3 Kutogirang
35.16.05.2004                                                                       4 Lolawang
35.16.05.2005                                                                       5 Wotanmasjedong                             Perbaikan nama, Srt No 140/416-011/2016 tgl mei 2016
35.16.05.2006                                                                       6 Tanjangrono
35.16.05.2007                                                                       7 Kunjorowesi
35.16.05.2008                                                                       8 Manduro                                    Perbaikan nama, Srt No 140/416-011/2016 tgl mei 2016
35.16.05.2009                                                                       9 Wonosari
35.16.05.2010                                                                      10 Ngoro
35.16.05.2011                                                                      11 Sedati
35.16.05.2012                                                                      12 Purwojati
35.16.05.2013                                                                      13 Jasem
35.16.05.2014                                                                      14 Sukoanyar
35.16.05.2015                                                                      15 Bandarasri
35.16.05.2016                                                                      16 Kembangsri
35.16.05.2017                                                                      17 Candiharjo
35.16.05.2018                                                                      18 Watesnegoro
35.16.05.2019                                                                      19 Tambakrejo
35.16.06.2001                                                                       1 Purworejo
35.16.06.2002                                                                       2 Mojorejo
35.16.06.2003                                                                       3 Curahmojo
35.16.06.2004                                                                       4 Sekargadung
35.16.06.2005                                                                       5 Tempuran
35.16.06.2006                                                                       6 Jatilangkung
35.16.06.2007                                                                       7 Banjartanggul
35.16.06.2008                                                                       8 Kalipuro
35.16.06.2009                                                                       9 Randuharjo
35.16.06.2010                                                                               10 Kembangringgit
35.16.06.2011                                                                               11 Pungging
35.16.06.2012                                                                               12 Lebaksono
35.16.06.2013                                                                               13 Tunggalpager
35.16.06.2014                                                                               14 Balongmasin
35.16.06.2015                                                                               15 Jabontegal
35.16.06.2016                                                                               16 Kedungmungal                               Perbaikan nama, Srt No 140/416-011/2016 tgl mei 2016
35.16.06.2017                                                                               17 Watukenongo
35.16.06.2018                                                                               18 Ngrame
35.16.06.2019                                                                               19 Bangun
35.16.07.2001                                                                                1 Payungrejo
35.16.07.2002                                                                                2 Simbaringin
35.16.07.2003                                                                                3 Sampangagung
35.16.07.2004                                                                                4 Jiyu
35.16.07.2005                                                                                5 Pesanggrahan                               Perbaikan nama, Srt No 140/416-011/2016 tgl mei 2016
35.16.07.2006                                                                                6 Windurejo
35.16.07.2007                                                                                7 Kertosari
35.16.07.2008                                                                                8 Kepuharum
35.16.07.2009                                                                                9 Gedangan
35.16.07.2010                                                                               10 Kutorejo
35.16.07.2011                                                                               11 Karangdiyeng
35.16.07.2012                                                                               12 Sawo
35.16.07.2013                                                                               13 Wonodadi
35.16.07.2014                                                                               14 Singowangi
35.16.07.2015                                                                               15 Kepuhpandak
35.16.07.2016                                                                               16 Karangasem
35.16.07.2017                                                                               17 Kaligoro
35.16.08.2001                                                                                1 Sumbertanggul
35.16.08.2002                                                                                2 Belahantengah
35.16.08.2003                                                                                3 Awang-awang
35.16.08.1004                                                     1 Kauman
35.16.08.1005                                                     2 Sarirejo
35.16.08.1006                                                      3 Sawahan
35.16.08.1007                                                      4 Mojosari
35.16.08.1008                                                      5 Wonokusumo
35.16.08.2009                                                                             4 Seduri
35.16.08.2010                                                                             5 Mojosulur
35.16.08.2011                                                                             6 Randubango
35.16.08.2012                                                                             7 Jotangan
35.16.08.2013                                                                             8 Menanggal
35.16.08.2014                                                                             9 Pekukuhan
35.16.08.2015                                                                            10 Modopuro
35.16.08.2016                                                                            11 Kebondalem
35.16.08.2017                                                                            12 Kedunggempol
35.16.08.2018                                                                            13 Ngimbangan
35.16.08.2019                                                                            14 Leminggir
35.16.09.2001                                                                             1 Punggul
35.16.09.2002                                                                             2 Kalen
35.16.09.2003                                                                             3 Kedunggede
35.16.09.2004                                                                             4 Mojokarang
35.16.09.2005                                                                             5 Segunung
35.16.09.2006                                                                             6 Talok
35.16.09.2007                                                                             7 Sumbersono
35.16.09.2008                                                                             8 Sambilawang
35.16.09.2009                                                                             9 Jrambe
35.16.09.2010                                                                            10 Randugenengan
35.16.09.2011                                                                            11 Pohkecik
35.16.09.2012                                                                            12 Dlanggu
35.16.09.2013                                                                            13 Ngembeh
35.16.09.2014                                                                            14 Sumberkarang
35.16.09.2015                                                                            15 Kedunglengkong
35.16.09.2016                                                                            16 Tumapel
35.16.10.2001                                                                             1 Pacing
35.16.10.2002                                                                             2 Sumberwono
35.16.10.2003                                                                        3 Kedunguneng                               Perbaikan nama, Srt No 140/416-011/2016 tgl mei 2016
35.16.10.2004                                                                        4 Kutoporong
35.16.10.2005                                                                        5 Ngastemi
35.16.10.2006                                                                        6 Peterongan
35.16.10.2007                                                                        7 Bangsal
35.16.10.2008                                                                        8 Sumbertebu
35.16.10.2009                                                                        9 Sidomulyo
35.16.10.2010                                                                       10 Gayam
35.16.10.2011                                                                       11 Tinggarbuntut
35.16.10.2012                                                                       12 Pekuwon
35.16.10.2013                                                                       13 Salen
35.16.10.2014                                                                       14 Mejoyo
35.16.10.2015                                                                       15 Ngrowo
35.16.10.2016                                                                       16 Puloniti
35.16.10.2017                                                                       17 Mojotamping
35.16.11.2001                                                                        1 Tampungrejo
35.16.11.2002                                                                        2 Plososari
35.16.11.2003                                                                        3 Kintelan
35.16.11.2004                                                                        4 Brayung
35.16.11.2005                                                                        5 Ketemasdungus
35.16.11.2006                                                                        6 Puri
35.16.11.2007                                                                        7 Tangunan
35.16.11.2008                                                                        8 Kebonagung
35.16.11.2009                                                                        9 Sumbergirang
35.16.11.2010                                                                       10 Mlaten
35.16.11.2011                                                                       11 Medali
35.16.11.2012                                                                       12 Balongmojo
35.16.11.2013                                                                       13 Sumolawang
35.16.11.2014                                                                       14 Tambakagung
35.16.11.2016                                                                       15 Banjaragung
35.16.11.2017                                                                       16 Kenanten                                  Semula Kec Mojoanyar Srt Bup 411.2/878/414-112/2019
35.16.12.2001                                                                        1 Jambuwok
35.16.12.2002                                                                        2 Domas
35.16.12.2003                                                                        3 Beloh
35.16.12.2004                                                                        4 Temon
35.16.12.2005                                                                        5 Pakis
35.16.12.2006                                                                        6 Sentonorejo
35.16.12.2007                                                                        7 Trowulan
35.16.12.2008                                                                        8 Bejijong
35.16.12.2009                                                                        9 Kejagan
35.16.12.2010                                                                       10 Jatipasar
35.16.12.2011                                                                       11 Watesumpak
35.16.12.2012                                                                       12 Wonorejo
35.16.12.2013                                                                       13 Panggih
35.16.12.2014                                                                       14 Tawangsari
35.16.12.2015                                                                       15 Bicak
35.16.12.2016                                                                       16 Balongwono
35.16.13.2001                                                                        1 Gemekan
35.16.13.2002                                                                        2 Blimbingsari
35.16.13.2003                                                                        3 Brangkal
35.16.13.2004                                                                        4 Kedungmaling
35.16.13.2005                                                                        5 Klinterejo
35.16.13.2006                                                                        6 Modongan
35.16.13.2007                                                                        7 Sambiroto
35.16.13.2008                                                                        8 Jampirogo
35.16.13.2009                                                                        9 Japan
35.16.13.2010                                                                       10 Sooko
35.16.13.2011                                                                       11 Wringinrejo
35.16.13.2012                                                                       12 Karangkedawang
35.16.13.2013                                                                       13 Mojoranu
35.16.13.2014                                                                       14 Tempuran
35.16.13.2015                                                                       15 Ngingasrembyong
35.16.14.2001                                                                        1 Ngareskidul
35.16.14.2002                                                                        2 Gembongan
35.16.14.2003                                                                        3 Gempolkerep
35.16.14.2004                                                                        4 Bandung
35.16.14.2005                                                                        5 Gedeg
35.16.14.2006                                                                        6 Pagerluyung
35.16.14.2007                                                                        7 Kemantren
35.16.14.2008                                                                        8 Terusan
35.16.14.2009                                                                        9 Sidoharjo
35.16.14.2010                                                                       10 Balongsari
35.16.14.2011                                                                       11 Batankrajan
35.16.14.2012                                                                       12 Pagerjo
35.16.14.2013                                                                       13 Jerukseger
35.16.14.2014                                                                       14 Beratwetan
35.16.15.2001                                                                        1 Watesprojo
35.16.15.2002                                                                        2 Betro
35.16.15.2003                                                                        3 Kedungsari
35.16.15.2004                                                                        4 Mojojajar
35.16.15.2005                                                                        5 Beratkulon
35.16.15.2006                                                                        6 Mojosarirejo
35.16.15.2007                                                                        7 Mojowiryo
35.16.15.2008                                                                        8 Mojowatesrejo
35.16.15.2009                                                                        9 Mojogebang
35.16.15.2010                                                                       10 Mojopilang
35.16.15.2011                                                                       11 Mojokusumo
35.16.15.2012                                                                       12 Japanan
35.16.15.2013                                                                       13 Mojokumpul
35.16.15.2014                                                                       14 Tanjungan
35.16.15.2015                                                                       15 Mojorejo
35.16.15.2016                                                                       16 Mojodadi
35.16.15.2017                                                                       17 Kemlagi
35.16.15.2018                                                                       18 Mojowono
35.16.15.2019                                                                       19 Pandankrajan
35.16.15.2020                                                                       20 Mojodowo
35.16.16.2001                                                                          1 Mlirip
35.16.16.2002                                                                          2 Penompo
35.16.16.2003                                                                          3 Canggu
35.16.16.2004                                                                          4 Ngabar
35.16.16.2005                                                                          5 Banjarsari
35.16.16.2006                                                                          6 Sawo
35.16.16.2007                                                                          7 Mojorejo
35.16.16.2008                                                                          8 Jolotundo
35.16.16.2009                                                                          9 Kupang
35.16.16.2010                                                                         10 Bendung
35.16.16.2011                                                                         11 Mojolebak
35.16.16.2012                                                                         12 Parengan
35.16.16.2013                                                                         13 Jetis
35.16.16.2014                                                                         14 Perning
35.16.16.2015                                                                         15 Sidorejo
35.16.16.2016                                                                         16 Lakardowo
35.16.17.2001                                                                          1 Cendoro
35.16.17.2002                                                                          2 Simongagrok
35.16.17.2003                                                                          3 Sumberwuluh
35.16.17.2004                                                                          4 Talunblandong
35.16.17.2005                                                                          5 Cinandang
35.16.17.2006                                                                          6 Gunungsari
35.16.17.2007                                                                          7 Dawarblandong
35.16.17.2008                                                                          8 Pulorejo
35.16.17.2009                                                                          9 Jatirowo
35.16.17.2010                                                                         10 Suru
35.16.17.2011                                                                         11 Bangeran
35.16.17.2012                                                                         12 Pucuk
35.16.17.2013                                                                         13 Banyulegi
35.16.17.2014                                                                         14 Gunungan
35.16.17.2015                                                                         15 Brayublandong
35.16.17.2016                                                                         16 Madureso
35.16.17.2017                                                                               17 Temuireng
35.16.17.2018                                                                               18 Randegan
35.16.18.2001                                                                                1 Sadartengah
35.16.18.2002                                                                                2 Lengkong
35.16.18.2003                                                                                3 Kepuhanyar
35.16.18.2004                                                                                4 Sumberjati
35.16.18.2005                                                                                5 Gebangmalang
35.16.18.2006                                                                                6 Jabon
35.16.18.2008                                                                                7 Ngarjo
35.16.18.2009                                                                                8 Wunut
35.16.18.2010                                                                                9 Kwedenkembar
35.16.18.2011                                                                               10 Jumeneng
35.16.18.2012                                                                               11 Kwatu
35.16.18.2013                                                                               12 Gayaman                                          Semula Kec Puri Srt Bup 411.2/878/414-112/2019,
35.17.01.2001                                                                                1 Jantiganggong                                    Koreksi nama berdasarkan srt Sekda Jatim No
35.17.01.2002                                                                                2 Kepuhkajang
35.17.01.2003                                                                                3 Sumberagung
35.17.01.2004                                                                                4 Pagerwojo
35.17.01.2005                                                                                5 Perak
35.17.01.2006                                                                                6 Sembung
35.17.01.2007                                                                                7 Glagahan
35.17.01.2008                                                                                8 Kalangsemanding                                  Koreksi nama Srt pemprov no 140/9013/011/2017 tgl 12 Mei
35.17.01.2009                                                                                9 Gadingmangu
35.17.01.2010                                                                               10 Plosogenuk
35.17.01.2011                                                                               11 Sukorejo
35.17.01.2012                                                                               12 Temuwulan
35.17.01.2013                                                                               13 Cangkringrandu
35.17.02.2001                                                                                1 Pucangro
35.17.02.2002                                                                       2 Kedungturi
35.17.02.2003                                                                       3 Japanan
35.17.02.2004                                                                       4 Blimbing
35.17.02.2005                                                                       5 Mentaos
35.17.02.2006                                                                       6 Sukoiber
35.17.02.2007                                                                       7 Sukopinggir
35.17.02.2008                                                                       8 Bugasur Kedaleman                           Koreksi nama berdasarkan srt Sekda Jatim No
35.17.02.2009                                                                       9 Gudo
35.17.02.2010                                                                      10 Pesanggrahan
35.17.02.2011                                                                      11 Wangkalkepuh
35.17.02.2012                                                                      12 Krembangan
35.17.02.2013                                                                      13 Sepanyul
35.17.02.2014                                                                      14 Godong
35.17.02.2015                                                                      15 Mejoyolosari
35.17.02.2016                                                                      16 Plumbon Gambang                             Koreksi nama berdasarkan srt Sekda Jatim No
35.17.02.2017                                                                      17 Gempollegundi
35.17.02.2018                                                                      18 Tanggungan
35.17.03.2001                                                                       1 Jombok
35.17.03.2002                                                                       2 Genukwatu
35.17.03.2003                                                                       3 Rejoagung
35.17.03.2004                                                                       4 Kauman
35.17.03.2005                                                                       5 Ngoro
35.17.03.2006                                                                       6 Badang
35.17.03.2007                                                                       7 Pulorejo
35.17.03.2008                                                                       8 Banyuarang
35.17.03.2009                                                                       9 Sidowarek
35.17.03.2010                                                                      10 Gajah
35.17.03.2011                                                                      11 Kesamben
35.17.03.2012                                                                      12 Kertorejo
35.17.03.2013                                                                      13 Sugihwaras
35.17.04.2001                                                                       1 Kebondalem
35.17.04.2002                                                                       2 Mundusewu
35.17.04.2003                                                                       3 Pakel
35.17.04.2004                                                                       4 Karangan
35.17.04.2005                                                                       5 Ngampungan
