36.01.01.2001                                                                             1 Sumberjaya
36.04.15.2009                                                                        9 Situterate
36.04.15.2010                                                                       10 Kamurang
36.04.15.2011                                                                       11 Gembor Udik
36.04.15.2012                                                                       12 Songgomjaya
36.04.15.2013                                                                       13 Cikande Permai                             Pemekaran desa Situ Terate Perda No. 834/2012
36.04.16.2001                                                                        1 Kibin
36.04.16.2002                                                                        2 Ketos
36.04.16.2003                                                                        3 Cijeruk
36.04.16.2004                                                                        4 Nagara
36.04.16.2005                                                                        5 Nambo Ilir
36.04.16.2006                                                                        6 Barengkok
36.04.16.2007                                                                        7 Sukamaju
36.04.16.2008                                                                        8 Tambak
36.04.16.2009                                                                         9 Ciagel
36.04.17.2001                                                                         1 Carenang
36.04.17.2002                                                                         2 Pamanuk
36.04.17.2003                                                                         3 Mandaya
36.04.17.2004                                                                         4 Teras
36.04.17.2006                                                                         5 Ragasmasigit
36.04.17.2007                                                                         6 Walikukun
36.04.17.2009                                                                         7 Panenjoan
36.04.17.2010                                                                         8 Mekarsari
36.04.18.2001                                                                         1 Binuang
36.04.18.2002                                                                         2 Cakung
36.04.18.2003                                                                         3 Renged
36.04.18.2004                                                                         4 Gembor
36.04.18.2005                                                                         5 Warakas
36.04.18.2006                                                                         6 Sukamampir
36.04.18.2007                                                                         7 Lamaran
36.04.19.2001                                                                         1 Petir
36.04.19.2002                                                                         2 Cirangkong
36.04.19.2003                                                                         3 Tambiluk
36.04.19.2004                                                                         4 Sindangsari
36.04.19.2005                                                                         5 Padasuka
36.04.19.2006                                                                         6 Seuat
36.04.19.2007                                                                         7 Nagarapadang
36.04.19.2008                                                                         8 Kadugenep
36.04.19.2009                                                                         9 Cirendeu
36.04.19.2010                                                                        10 Sanding
36.04.19.2011                                                                        11 Kampung Baru
36.04.19.2012                                                                        12 Mekar Baru
36.04.19.2013                                                                        13 Seuat Jaya                               Pemekaran desa Seuat Perda No. 6/2009
36.04.19.2014                                                                        14 Kubang Jaya                                Pemekaran desa Kadugenep Perda No. 22/2012
36.04.19.2015                                                                        15 Bojong Nangka                              Pemekaran desa Padasuka Perda No. 834/2012
36.04.20.2001                                                                         1 Tanjung Teja
36.04.20.2002                                                                         2 Sukasari
36.04.20.2003                                                                         3 Panunggulan
36.04.20.2004                                                                         4 Malanggah
36.04.20.2005                                                                         5 Kemuning
36.04.20.2006                                                                         6 Bojong Menteng
36.04.20.2007                                                                         7 Bojong Catang
36.04.20.2008                                                                         8 Bojong Pandan
36.04.20.2009                                                                         9 Pancaregang                                Pemekaran Desa Bojong Menteng Perda No. 6/2009. Semula Desa
36.04.22.2001                                                                         1 Baros
36.04.22.2002                                                                         2 Tejamari
36.04.22.2003                                                                         3 Panyirapan
36.04.22.2004                                                                         4 Sidamukti
36.04.22.2005                                                                         5 Sukacai
36.04.22.2006                                                                         6 Tamansari
36.04.22.2007                                                                         7 Sindangmandi
36.04.22.2008                                                                         8 Cisalam
36.04.22.2009                                                                         9 Sukamanah
36.04.22.2010                                                                        10 Sukamenak
36.04.22.2011                                                                       11 Curugagung
36.04.22.2012                                                                       12 Padasuka
36.04.22.2013                                                                       13 Sinarmukti
36.04.22.2014                                                                       14 Suka Indah
36.04.23.2001                                                                        1 Cikeusal
36.04.23.2002                                                                        2 Dahu
36.04.23.2003                                                                        3 Katulisan
36.04.23.2004                                                                        4 Sukamaju
36.04.23.2005                                                                        5 Cilayang
36.04.23.2006                                                                        6 Sukamenak
36.04.23.2007                                                                        7 Cimaung
36.04.23.2008                                                                        8 Panyabrangan
36.04.23.2009                                                                        9 Gandayasa
36.04.23.2010                                                                       10 Bantar Panjang
36.04.23.2011                                                                       11 Sukaratu
36.04.23.2012                                                                       12 Harundang
36.04.23.2013                                                                       13 Sukarame
36.04.23.2014                                                                       14 Panosogan                                  Semula Desa Panosongan, Perda No 13/2009
36.04.23.2015                                                                       15 Mongpok
36.04.23.2016                                                                       16 Sukaraja                                   Pemekaran desa Sukamenak Perda No. 22/2012
36.04.23.2017                                                                       17 Cilayang Guha                              Pemekaran desa Cilayang Perda No. 834/2012
36.04.24.2001                                                                        1 Pamarayan
36.04.24.2002                                                                        2 Damping
36.04.24.2003                                                                        3 Wirana
36.04.24.2004                                                                        4 Keboncau
36.04.24.2005                                                                        5 Pudar
36.04.24.2006                                                                        6 Binong
36.04.24.2007                                                                        7 Sangiang
36.04.24.2008                                                                        8 Kampung Baru
36.04.24.2010                                                                        9 Pasirlimus
36.04.24.2018                                                                       10 Pasir Kembang                             Pemekaran desa Binong Perda No. 834/2012
36.04.25.2001                                                                        1 Kopo
36.04.25.2002                                                                        2 Garut
36.04.25.2003                                                                        3 Nanggung
36.04.25.2004                                                                        4 Cidahu
36.04.25.2005                                                                        5 Nyompok
36.04.25.2006                                                                        6 Gabus                                     Semula Desa Majasari, Perda No 13/2009
36.04.25.2007                                                                        7 Carenang Udik
36.04.25.2008                                                                        8 Rancasumur
36.04.25.2009                                                                        9 Babakanjaya
36.04.25.2010                                                                       10 Mekarbaru
36.04.26.2001                                                                        1 Jawilan
36.04.26.2002                                                                        2 Bojot
36.04.26.2003                                                                        3 Cemplang
36.04.26.2004                                                                        4 Pagintungan
36.04.26.2005                                                                        5 Pasirbuyut
36.04.26.2006                                                                        6 Majasari
36.04.26.2007                                                                        7 Parakan
36.04.26.2008                                                                        8 Kareo
36.04.26.2009                                                                        9 Junti
36.04.27.2001                                                                        1 Ujungtebu
36.04.27.2002                                                                        2 Siketug
36.04.27.2003                                                                        3 Lebak
36.04.27.2004                                                                        4 Pondok Kaharu
36.04.27.2005                                                                        5 Sukabares
36.04.27.2006                                                                        6 Sukarena
36.04.27.2007                                                                        7 Sukadana
36.04.27.2008                                                                        8 Cemplang
36.04.27.2009                                                                        9 Cisitu
36.04.27.2010                                                                       10 Citaman
36.04.27.2011                                                                       11 Panyaungan Jaya                             Pemekaran desa Sukabares Perda No. 6/2009
36.04.28.2001                                                                        1 Pabuaran
36.04.28.2006                                                                        2 Kadubeureum
36.04.28.2007                                                                        3 Tanjungsari
36.04.28.2009                                                                        4 Pancanegara
36.04.28.2010                                                                        5 Sindangsari
36.04.28.2012                                                                        6 Sindangheula
36.04.28.2013                                                                        7 Pasanggrahan
36.04.28.2015                                                                        8 Talaga Warna                                Pemekaran desa Tanjungsari Perda No. 22/2012
36.04.29.2001                                                                        1 Padarincang
36.04.29.2002                                                                        2 Bugel
36.04.29.2003                                                                        3 Cibojong
36.04.29.2004                                                                        4 Citasuk
36.04.29.2005                                                                        5 Cisaat
36.04.29.2006                                                                        6 Ciomas
36.04.29.2007                                                                        7 Barugbug
36.04.29.2008                                                                        8 Batu Kuwung
36.04.29.2009                                                                        9 Kramatlaban
36.04.29.2010                                                                       10 Kelumpang
36.04.29.2011                                                                       11 Kadubeureum
36.04.29.2012                                                                       12 Cipayung
36.04.29.2013                                                                       13 Curug Goong
36.04.29.2014                                                                       14 Kadu Kempong                              Pemekaran desa Padarindang Perda No. 6/2009
36.04.30.2001                                                                        1 Anyar
36.04.30.2002                                                                        2 Sindang Mandi
36.04.30.2003                                                                        3 Cikoneng
36.04.30.2004                                                                        4 Tanjung Manis
36.04.30.2005                                                                        5 Bandulu
36.04.30.2006                                                                        6 Bunihara
36.04.30.2007                                                                        7 Kosambironyok
36.04.30.2008                                                                        8 Banjarsari
36.04.30.2009                                                                        9 Mekarsari
36.04.30.2010                                                                       10 Sindangkarya
36.04.30.2011                                                                       11 Tambang Ayam                              Pemekaran desa Bandulu Perda No. 22/2012
36.04.30.2012                                                                       12 Grogol Indah                              Pemekaran desa Kosambironyok Perda No. 834/2012
36.04.31.2001                                                                        1 Cinangka
36.04.31.2002                                                                        2 Bantar Waru
36.04.31.2003                                                                        3 Pasauran
36.04.31.2004                                                                        4 Bulakan
36.04.31.2005                                                                        5 Karang Suraga
36.04.31.2006                                                                        6 Umbul Tanjung
36.04.31.2007                                                                        7 Kubang Baros
36.04.31.2008                                                                        8 Ranca Sanggal
36.04.31.2009                                                                        9 Cikolelet
36.04.31.2010                                                                       10 Sindang Laya
36.04.31.2011                                                                       11 Kamasan
36.04.31.2012                                                                       12 Bantar Wangi
36.04.31.2013                                                                       13 Mekarsari
36.04.31.2014                                                                       14 Baros Jaya                                Pemekaran desa Kubangbaros Perda No. 22/2012
36.04.32.2001                                                                        1 Mancak
36.04.32.2002                                                                        2 Ciwarna
36.04.32.2003                                                                        3 Angsana
36.04.32.2004                                                                        4 Talaga
36.04.32.2005                                                                        5 Cikedung
36.04.32.2006                                                                        6 Sigedong
36.04.32.2007                                                                        7 Sangiang
36.04.32.2008                                                                        8 Pasirwaru
36.04.32.2009                                                                        9 Waringin
36.04.32.2010                                                                       10 Winong
36.04.32.2011                                                                       11 Batukuda
36.04.32.2012                                                                       12 Labuan
36.04.32.2013                                                                       13 Bale Kambang
36.04.32.2014                                                                       14 Bale Kencana                                Pemekaran desa Pasirwaru Perda No. 22/2012
36.04.33.2001                                                                        1 Gunungsari
36.04.33.2002                                                                        2 Ciherang
36.04.33.2003                                                                        3 Tamiang
36.04.33.2004                                                                        4 Sukalaba
36.04.33.2005                                                                        5 Kadu Agung
36.04.33.2006                                                                        6 Luwuk
36.04.33.2007                                                                        7 Curug Sulanjana                             Semula wil Kec. Pabuaran Perda No. 19/2003
36.04.34.2001                                                                        1 Bandung
36.04.34.2002                                                                        2 Mander
36.04.34.2003                                                                        3 Penamping
36.04.34.2004                                                                        4 Pangawinan
36.04.34.2005                                                                        5 Malabar
36.04.34.2006                                                                        6 Blokang
36.04.34.2007                                                                        7 Babakan
36.04.34.2008                                                                        8 Pringwulung
36.04.35.2001                                                                        1 Kamaruton                                   Semula wil Kec. Kragilan Perda No. 7/2012
36.04.35.2002                                                                        2 Teras Bendung                               Semula wil Kec. Kragilan Perda No. 7/2012
36.04.35.2003                                                                        3 Lebak Wangi                                 Semula wil Kec. Pontang Perda No. 7/2012
36.04.35.2004                                                                        4 Lebak Kepuh                                 Semula wil Kec. Pontang Perda No. 7/2012
36.04.35.2005                                                                                       5 Kencana Harapan                               Semula wil Kec. Pontang Perda No. 7/2012
36.04.35.2006                                                                                       6 Pegandikan                                    Semula wil Kec. Pontang Perda No. 7/2012
36.04.35.2007                                                                                       7 Purwadadi                                     Semula wil Kec. Cerenang Perda No. 7/2012
36.04.35.2008                                                                                       8 Bolang                                        Semula wil Kec. Cerenang Perda No. 7/2012
36.04.35.2009                                                                                       9 Tirem                                         Semula wil Kec. Ciruas Perda No. 7/2012
36.04.35.2010                                                                                      10 Kebonratu                                     Semula wil Kec. Ciruas Perda No. 7/2012
36.71.01.1001                                                            1 Sukarasa
36.71.01.1002                                                            2 Sukaasih
36.71.01.1003                                                            3 Tanah Tinggi
36.71.01.1004                                                            4 Buaran Indah
36.71.01.1005                                                            5 Cikokol
36.71.01.1006                                                            6 Kelapa Indah
36.71.01.1007                                                            7 Sukasari
36.71.01.1008                                                            8 Babakan
36.71.02.1001                                                            1 Keroncong
36.71.02.1002                                                            2 Jatake
36.71.02.1003                                                            3 Pasir Jaya
36.71.02.1004                                                            4 Gandasari
36.71.02.1005                                                            5 Manis Jaya
36.71.02.1006                                                            6 Alam Jaya
36.71.03.1001                                                            1 Batuceper
36.71.03.1002                                                            2 Batujaya
36.71.03.1003                                                            3 Poris Gaga
36.71.03.1004                                                            4 Poris Gaga Baru
36.71.03.1005                                                            5 Kebon Besar
36.71.03.1006                                                            6 Batusari
36.71.03.1007                                                            7 Poris Jaya
36.71.04.1001                                                            1 Belendung
36.71.04.1002                                                     2 Jurumudi
36.71.04.1003                                                     3 Benda
36.71.04.1004                                                     4 Pajang
36.71.04.1005                                                     5 Jurumudi Baru
36.71.05.1001                                                     1 Cipondoh
36.71.05.1002                                                     2 Cipondoh Makmur
36.71.05.1003                                                     3 Cipondoh Indah
36.71.05.1004                                                     4 Gondrong
36.71.05.1005                                                     5 Kenanga
36.71.05.1006                                                     6 Petir
36.71.05.1007                                                     7 Ketapang
36.71.05.1008                                                     8 Poris Plawad
36.71.05.1009                                                     9 Poris Plawad Utara
36.71.05.1010                                                    10 Poris Plawad Indah
36.71.06.1001                                                     1 Paninggilan
36.71.06.1002                                                     2 Sudimara Barat
36.71.06.1003                                                     3 Sudimara Timur
36.71.06.1004                                                     4 Tajur
36.71.06.1005                                                     5 Parung Serab
36.71.06.1006                                                     6 Sudimara Jaya
36.71.06.1007                                                     7 Sudimara Selatan
36.71.06.1008                                                     8 Paninggilan Utara
36.71.07.1001                                                     1 Karawaci
36.71.07.1002                                                     2 Bojong Jaya
36.71.07.1003                                                     3 Karawaci Baru
36.71.07.1004                                                     4 Nusa Jaya
36.71.07.1005                                                     5 Cimone
36.71.07.1006                                                     6 Cimone Jaya
36.71.07.1007                                                     7 Pabuaran
36.71.07.1008                                                     8 Sumur Pacing
36.71.07.1009                                                     9 Bugel
36.71.07.1010                                                     10 Margasari
36.71.07.1011                                                     11 Pabuaran Tumpeng
36.71.07.1012                                                     12 Nambo Jaya
36.71.07.1013                                                     13 Gerendeng
36.71.07.1014                                                     14 Sukajadi
36.71.07.1015                                                     15 Pasar Baru
36.71.07.1016                                                     16 Koang Jaya
36.71.08.1001                                                      1 Periuk
36.71.08.1002                                                      2 Gembor
36.71.08.1003                                                      3 Gebang Raya
36.71.08.1004                                                      4 Sangiang Jaya
36.71.08.1005                                                      5 Periuk Jaya
36.71.09.1001                                                      1 Cibodas
36.71.09.1002                                                      2 Cibodasari
36.71.09.1003                                                      3 Cibodas Baru
36.71.09.1004                                                      4 Panunggangan Barat
36.71.09.1005                                                      5 Uwung Jaya
36.71.09.1006                                                      6 Jatiuwung
36.71.10.1001                                                      1 Neglasari
36.71.10.1002                                                      2 Karang Sari
36.71.10.1003                                                      3 Selapajang Jaya
36.71.10.1004                                                      4 Kedaung Wetan
36.71.10.1005                                                      5 Mekarsari
36.71.10.1006                                                      6 Karang Anyar
36.71.10.1007                                                      7 Kedaung Baru
36.71.11.1001                                                      1 Pinang
36.71.11.1002                                                      2 Sudimara Pinang
36.71.11.1003                                                      3 Nerogtog
36.71.11.1004                                                      4 Kunciran
36.71.11.1005                                                      5 Kunciran Indah
36.71.11.1006                                                              6 Kunciran Jaya
36.71.11.1007                                                              7 Cipete
36.71.11.1008                                                              8 Pakojan
36.71.11.1009                                                              9 Panunggangan
36.71.11.1010                                                             10 Panunggangan Utara
36.71.11.1011                                                             11 Panunggangan Timur
36.71.12.1001                                                              1 Karang Tengah
36.71.12.1002                                                              2 Karang Mulya
36.71.12.1003                                                              3 Pondok Bahar
36.71.12.1004                                                              4 Pondok Pucung
36.71.12.1005                                                              5 Karang Timur
36.71.12.1006                                                              6 Padurenan
36.71.12.1007                                                              7 Parung Jaya
36.71.13.1001                                                              1 Larangan Utara
36.71.13.1002                                                              2 Larangan Selatan
36.71.13.1003                                                              3 Cipadu
36.71.13.1004                                                              4 Kreo
36.71.13.1005                                                              5 Larangan Indah
36.71.13.1006                                                              6 Gaga
36.71.13.1007                                                              7 Cipadu Jaya
36.71.13.1008                                                              8 Kreo Selatan
36.72.01.1001                                                              1 Cibeber                                                   Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.01.1002                                                              2 Kedaleman                                                 Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.01.1003                                                              3 Bulakan                                                   Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.01.1004                                                              4 Cikerai                                                   Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.01.1005                                                              5 Karang Asem                                               Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.01.1006                                                              6 Kalitimbang                                               Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.02.1001                                                              1 Bagendung                                                 Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.02.1002                                                     2 Ciwedus                                             Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.02.1003                                                     3 Bendungan                                           Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.02.1004                                                     4 Ketileng                                            Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.02.1005                                                     5 Ciwaduk                                             Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.03.1001                                                     1 Tamansari                                           Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.03.1002                                                     2 Lebakgede                                           Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.03.1003                                                     3 Mekarsari                                           Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.03.1004                                                     4 Suralaya                                            Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.04.1001                                                     1 Banjar Negara                                       Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.04.1002                                                     2 Tegal Ratu                                          Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.04.1003                                                     3 Kubangsari                                          Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.04.1004                                                     4 Gunung Sugih                                        Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.04.1005                                                     5 Kepuh                                               Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.04.1006                                                     6 Randakari                                           Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.05.1001                                                     1 Sukmajaya
36.72.05.1002                                                     2 Jombang Wetan
36.72.05.1003                                                     3 Masigit
36.72.05.1004                                                     4 Panggung Rawi
36.72.05.1005                                                     5 Gedong Dalem
36.72.06.1001                                                     1 Kotasari
36.72.06.1002                                                     2 Grogol                                              Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.06.1003                                                     3 Rawa Arum                                           Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.06.1004                                                     4 Gerem                                               Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.07.1001                                                     1 Ramanuju                                            Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.07.1002                                                     2 Kotabumi                                            Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.07.1003                                                     3 Kebon Dalem                                         Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.07.1004                                                     4 Purwakarta                                          Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.07.1005                                                     5 Tegal Bunder                                        Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.07.1006                                                     6 Pabean                                              Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.08.1001                                                            1 Warnasari                                                      Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.08.1002                                                            2 Dringo                                                         Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.08.1003                                                            3 Lebak Denok                                                    Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.08.1004                                                            4 Taman Baru                                                     Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.08.1005                                                            5 Kebonsari                                                      Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.08.1006                                                            6 Samangraya                                                     Menjadi Kel., Perda No.31/2005 & No.5/2006
36.72.08.1007                                                            7 Citangkil                                                      Menjadi Kel., Perda No.31/2005 & No.5/2006
36.73.01.1001                                                            1 Serang
36.73.01.1002                                                            2 Cipare
36.73.01.1003                                                            3 Sumur Pecung
36.73.01.1004                                                            4 Kota Baru
36.73.01.1005                                                            5 Lopang
36.73.01.1006                                                            6 Cimuncang
36.73.01.1007                                                            7 Unyur
36.73.01.1008                                                            8 Sukawana
36.73.01.1009                                                            9 Lontarbaru
36.73.01.1010                                                           10 Kaligandu                                                      Perda No. 11/2008
36.73.01.1011                                                           11 Terondol
36.73.01.1012                                                           12 Kagungan
36.73.02.1001                                                            1 Kasemen                                                        Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.02.1002                                                            2 Mesjid Priyayi                                                 Perubahan Status Desa menjadi Kelurahan Perda No 5/2013
36.73.02.1003                                                            3 Terumbu                                                        Perubahan Status desa menjadi kelurahan, Perda No 5/2013
36.73.02.1004                                                            4 Warung Jaud                                                    Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.02.1006                                                            5 Bendung                                                        Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.02.1007                                                            6 Banten                                                         Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.02.1008                                                            7 Sawah Luhur                                                    Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.02.1009                                                            8 Kilasah                                                        Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.02.1010                                                            9 Kasunyatan                                                     Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.02.1011                                                     10 Margaluyu                                                 Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.03.1001                                                      1 Walantaka                                                 Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.03.1002                                                      2 Cigoong                                                   Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.03.1003                                                      3 Nyapah                                                    Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.03.1004                                                      4 Pangampelan                                               Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.03.1006                                                      5 Kiara                                                     Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.03.1007                                                      6 Pager Agung                                               Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.03.1008                                                      7 Kalodran                                                  Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.03.1009                                                      8 Kapuren                                                   Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.03.1010                                                      9 Teritih                                                   Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.03.1011                                                     10 Pabuaran                                                  Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.03.1012                                                     11 Pasuluhan                                                 Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.03.1013                                                     12 Tegalsari                                                 Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.03.1014                                                     13 Pipitan                                                   Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.03.1016                                                     14 Lebakwangi                                                Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.04.1001                                                      1 Curug                                                     Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.04.1002                                                      2 Tinggar                                                   Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.04.1003                                                      3 Kemanisan                                                 Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.04.1004                                                      4 Cipete                                                    Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.04.1005                                                      5 Cilaku                                                    Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.04.1006                                                      6 Pancalaksana                                              Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.04.1007                                                      7 Sukawana                                                  Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.04.1008                                                      8 Sukalaksana                                               Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.04.1009                                                      9 Curug Manis                                               Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.04.1010                                                     10 Sukajaya                                                  Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.05.1001                                                      1 Cipocok Jaya
36.73.05.1002                                                      2 Karundang
36.73.05.1003                                                      3 Panancangan
36.73.05.1004                                                      4 Banjar Agung
36.73.05.1005                                                                   5 Banjarsari
36.73.05.1006                                                                   6 Tembong
36.73.05.1007                                                                   7 Dalung
36.73.05.1008                                                                   8 Gelam
36.73.06.1001                                                                   1 Taktakan                                                Perda No. 11/2008, Perubahan status desa menjadi Kel. Perda No.
36.73.06.1002                                                                   2 Sayar                                                   Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.06.1003                                                                   3 Pancur                                                  Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.06.1004                                                                   4 Kuranji                                                 Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.06.1005                                                                   5 Kalanganyar                                             Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.06.1006                                                                   6 Cilowong                                                Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.06.1007                                                                   7 Panggungjati                                            Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.06.1008                                                                   8 Drangong                                                Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.06.1009                                                                   9 Umbul Tengah                                            Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.06.1010                                                                  10 Sepang                                                  Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.06.1011                                                                  11 Lialang                                                 Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.06.1012                                                                  12 Taman Baru                                              Perubahan status desa menjadi Kel. Perda No. 10/2011
36.74.01.1001                                                                   1 Ciater
36.74.01.1002                                                                   2 Rawabuntu                                               Perda No. 3/2005
36.74.01.1003                                                                   3 Rawa Mekarjaya                                          Perda No. 3/2005
36.74.01.1004                                                                   4 Lengkong Gudang
36.74.01.1005                                                                   5 Lengkong Wetan
36.74.01.1006                                                                   6 Buaran
36.74.01.1007                                                                   7 Lengkong Gudang
36.74.01.1008                                                                   8 Cilenggang
36.74.01.1009                                                                   9 Serpong
36.74.02.1001                                                                   1 Pakulonan
36.74.02.1002                                                                   2 Pakualam                                                Perda No. 3/2005
36.74.02.1003                                                                   3 Pakujaya                                                Perda No. 3/2005
36.74.02.1004                                                                   4 Pondok Jagung
36.74.02.1005                                                       5 Pondok Jagung Timur
36.74.02.1006                                                       6 Jelupang
36.74.02.1007                                                       7 Lengkong Karya
36.74.03.1001                                                       1 Pondok Betung
36.74.03.1002                                                       2 Pondok Pucung
36.74.03.1003                                                       3 Pondok Karya
36.74.03.1004                                                       4 Pondok Jaya
36.74.03.1005                                                       5 Pondok Aren
36.74.03.1006                                                       6 Pondok Kacang Barat
36.74.03.1007                                                       7 Pondok Kacang Timur
36.74.03.1008                                                       8 Parigi
36.74.03.1009                                                       9 Parigi Baru
36.74.03.1010                                                      10 Jurangmangu Barat
36.74.03.1011                                                      11 Jurangmangu Timur
36.74.04.1001                                                       1 Sawah Baru
36.74.04.1002                                                       2 Serua
36.74.04.1003                                                       3 Ciputat
36.74.04.1004                                                       4 Sawah Lama
36.74.04.1005                                                       5 Serua Indah
36.74.04.1006                                                       6 Jombang
36.74.04.1007                                                       7 Cipayung
36.74.05.1001                                                       1 Cempaka Putih
36.74.05.1002                                                       2 Pondok Ranji
36.74.05.1003                                                       3 Pisangan
36.74.05.1004                                                       4 Cireundeu
36.74.05.1005                                                       5 Rempoa
36.74.05.1006                                                       6 Rengas
36.74.06.1001                                                       1 Pamulang Barat
36.74.06.1002                                                       2 Benda Baru
36.74.06.1003                                                       3 Pondok Benda
36.74.06.1004                                                           4 Pondok Cabe Udik
36.74.06.1005                                                           5 Pondok Cabe Ilir
36.74.06.1006                                                           6 Kedaung
36.74.06.1007                                                           7 Bambuapus                                                        Perda No. 3/2005
36.74.06.1008                                                           8 Pamulang Timur
36.74.07.1001                                                           1 Muncul
36.74.07.1002                                                           2 Setu                                                             Perubahan status desa menjadi kelurahan Perda No 10/2012
36.74.07.1003                                                           3 Keranggan                                                        Perubahan status desa menjadi kelurahan Perda No 10/2012
36.74.07.1004                                                           4 Kademangan                                                       Perubahan status desa menjadi kelurahan Perda No 10/2012
36.74.07.1005                                                           5 Babakan                                                          Perubahan status desa menjadi kelurahan Perda No 10/2012
36.74.07.1006                                                           6 Bakti Jaya                                                       Perubahan status desa menjadi kelurahan Perda No 10/2012
