33.01.01.2001                                                                             1 Tambakreja
33.22.13.2013                                                                               9 Diwak
33.22.15.2001                                                                               1 Klepu
33.22.15.2002                                                                               2 Derekan
33.22.15.2003                                                                               3 Jatirunggo
33.22.15.1004                                                      1 Pringapus
33.22.15.2005                                                                               4 Pringsari
33.22.15.2006                                                                               5 Wonorejo
33.22.15.2007                                                                               6 Wonoyoso
33.22.15.2008                                                                               7 Candirejo
33.22.15.2009                                                                               8 Penawangan
33.22.16.2001                                                                                1 Bancak
33.22.16.2002                                                                                2 Wonokerto
33.22.16.2003                                                                                3 Jlumpang
33.22.16.2004                                                                                4 Bantal
33.22.16.2005                                                                                5 Rejosari
33.22.16.2006                                                                                6 Plumutan
33.22.16.2007                                                                                7 Lembu
33.22.16.2008                                                                                8 Pucung
33.22.16.2009                                                                                9 Boto
33.22.17.2001                                                                                1 Kaliwungu
33.22.17.2002                                                                                2 Jetis
33.22.17.2003                                                                                3 Kener
33.22.17.2004                                                                                4 Kradenan
33.22.17.2005                                                                                5 Mukiran
33.22.17.2006                                                                                6 Pager
33.22.17.2007                                                                                7 Papringan
33.22.17.2008                                                                                8 Payungan
33.22.17.2009                                                                                9 Rogomulyo
33.22.17.2010                                                                               10 Siwal
33.22.17.2011                                                                               11 Udanwuh
33.22.18.2001                                                                                1 Branjang
33.22.18.2002                                                                                2 Kalisidi
33.22.18.2003                                                                                3 Keji
33.22.18.2004                                                                                4 Lerep
33.22.18.2005                                                                                5 Nyatnyono
33.22.18.1006                                                        1 Candirejo
33.22.18.1007                                                        2 Genuk
33.22.18.1008                                                        3 Ungaran
33.22.18.1009                                                        4 Bandarjo
33.22.18.1010                                                        5 Langensari
33.22.18.2011                                                                                6 Gogik
33.22.19.1001                                                             1 Sidomulyo                                                            Semula wil. di Kec. Ungaran.
33.22.19.1002                                                             2 Kalirejo                                                             Semula wil. di Kec. Ungaran.
33.22.19.1003                                                             3 Susukan                                                              Semula wil. di Kec. Ungaran.
33.22.19.2004                                                                                       1 Mluweh                                     Semula wil. di Kec. Ungaran.
33.22.19.2005                                                                                       2 Kawengen                                   Semula wil. di Kec. Ungaran.
33.22.19.2006                                                                                       3 Kalikayen                                  Semula wil. di Kec. Ungaran.
33.22.19.1007                                                             4 Gedanganak                                                           Semula wil. di Kec. Ungaran.
33.22.19.1008                                                             5 Beji                                                                 Semula wil. di Kec. Ungaran.
33.22.19.2009                                                                                       4 Leyangan                                   Semula wil. di Kec. Ungaran.
33.22.19.2010                                                                                       5 Kalongan                                   Semula wil. di Kec. Ungaran.
33.22.20.2001                                                                                       1 Mlilir                                     Semula wil. Kec. Ambarawa
33.22.20.2002                                                                                       2 Duren                                      Semula wil. Kec. Ambarawa
33.22.20.2003                                                                                       3 Jetis                                      Semula wil. Kec. Ambarawa
33.22.20.2004                                                                                       4 Kenteng                                    Semula wil. Kec. Ambarawa
33.22.20.2005                                                                                       5 Candi                                      Semula wil. Kec. Ambarawa
33.22.20.2006                                                                                       6 Jimbaran                                   Semula wil. Kec. Bawen
33.22.20.2007                                                                                       7 Pakopen                                    Semula wil. Kec. Bawen
33.22.20.2008                                                                                       8 Sidomukti                                  Semula wil. Kec. Bawen
33.22.20.2009                                                                                       9 Banyukuning                                Semula wil. Kec. Jambu
33.22.20.1011                                                             1 Bandungan                                                            PMD
33.23.01.2001                                                                                       1 Bulu
33.23.01.2002                                                                                       2 Tegalurung
33.23.01.2003                                                                                       3 Campursari
33.23.01.2004                                                                                       4 Gandurejo
33.23.01.2005                                                                                       5 Tegalrejo
33.23.01.2006                                                                                       6 Gondosuli
33.23.01.2007                                                                                       7 Ngimbrang
33.23.01.2008                                                                                       8 Putat
33.23.01.2009                                                                                       9 Danupayan
33.23.01.2010                                                                             10 Mondoretno
33.23.01.2011                                                                             11 Pandemulyo
33.23.01.2012                                                                             12 Pasuruan
33.23.01.2013                                                                             13 Pakurejo
33.23.01.2014                                                                             14 Malangsari
33.23.01.2015                                                                             15 Pagergunung
33.23.01.2016                                                                             16 Wonosari
33.23.01.2017                                                                             17 Bansari
33.23.01.2018                                                                             18 Wonotirto
33.23.01.2019                                                                             19 Pengilon
33.23.02.2001                                                                              1 Tembarak
33.23.02.2002                                                                              2 Menggoro
33.23.02.2003                                                                              3 Purwodadi
33.23.02.2004                                                                              4 Wonokerso
33.23.02.2005                                                                              5 Kemloko
33.23.02.2006                                                                              6 Gandu
33.23.02.2007                                                                              7 Botoputih
33.23.02.2008                                                                              8 Tawangsari
33.23.02.2009                                                                              9 Greges
33.23.02.2010                                                                             10 Krajan
33.23.02.2011                                                                             11 Jragan
33.23.02.2012                                                                             12 Drono
33.23.02.2013                                                                             13 Banaran
33.23.03.1001                                                     1 Temanggung I
33.23.03.1002                                                     2 Temanggung II
33.23.03.1003                                                     3 Butuh
33.23.03.1004                                                     4 Jampiroso
33.23.03.1005                                                     5 Jampirejo
33.23.03.1006                                                     6 Kertosari
33.23.03.1007                                                     7 Banyuurip
33.23.03.1008                                                     8 Kowangan
33.23.03.1009                                                     9 Jurang
33.23.03.1010                                                    10 Tlogorejo
33.23.03.2011                                                                                1 Joho
33.23.03.1012                                                    11 Kebonsari
33.23.03.1013                                                    12 Manding
33.23.03.1014                                                    13 Mungseng
33.23.03.1015                                                    14 Purworejo
33.23.03.1016                                                    15 Giyanti
33.23.03.2017                                                                                2 Guntur
33.23.03.1018                                                    16 Madureso
33.23.03.2019                                                                                3 Lungge
33.23.03.2020                                                                                4 Mudal
33.23.03.2021                                                                                5 Gilingsari
33.23.03.1022                                                    17 Sidorejo
33.23.03.2024                                                                                6 Nampirejo
33.23.03.1025                                                    18 Walitelon Utara
33.23.03.1026                                                    19 Walitelon Selatan
33.23.04.2001                                                                                1 Pringsurat
33.23.04.2002                                                                                2 Kebumen
33.23.04.2003                                                                                3 Soropadan
33.23.04.2004                                                                                4 Kupen
33.23.04.2005                                                                                5 Karangwuni
33.23.04.2006                                                                                6 Gowak
33.23.04.2007                                                                                7 Rejosari
33.23.04.2008                                                                                8 Ngipik
33.23.04.2009                                                                                9 Pingit
33.23.04.2010                                                                               10 Klepu
33.23.04.2011                                                                               11 Soborejo
33.23.04.2012                                                                               12 Nglorog
33.23.04.2013                                                                               13 Pagergunung
33.23.04.2014                                                                               14 Wonokerso
33.23.05.2001                                                                                1 Kaloran
33.23.05.2002                                                                       2 Tlogowungu
33.23.05.2003                                                                       3 Gandon
33.23.05.2004                                                                       4 Tleter
33.23.05.2005                                                                       5 Getas
33.23.05.2006                                                                       6 Kalimanggis
33.23.05.2007                                                                       7 Tempuran
33.23.05.2008                                                                       8 Kemiri
33.23.05.2009                                                                       9 Geblog
33.23.05.2010                                                                      10 Tegowanuh
33.23.05.2011                                                                      11 Keblukan
33.23.05.2012                                                                      12 Tepusen
33.23.05.2013                                                                      13 Gandulan
33.23.05.2014                                                                      14 Kwarakan
33.23.06.2001                                                                       1 Kandangan
33.23.06.2002                                                                       2 Baledu
33.23.06.2003                                                                       3 Caruban
33.23.06.2004                                                                       4 Wadas
33.23.06.2005                                                                       5 Samiranan
33.23.06.2006                                                                       6 Ngemplak
33.23.06.2007                                                                       7 Kembangsari
33.23.06.2008                                                                       8 Gesing
33.23.06.2009                                                                       9 Margolelo
33.23.06.2010                                                                      10 Blimbing
33.23.06.2011                                                                      11 Kedungumpul
33.23.06.2012                                                                      12 Rowo
33.23.06.2013                                                                      13 Malebo
33.23.06.2014                                                                      14 Tlogopucang
33.23.06.2015                                                                      15 Kedawung
33.23.06.2016                                                                      16 Banjarsari
33.23.07.2001                                                                       1 Kedu
33.23.07.2002                                                                       2 Candimulyo
33.23.07.2003                                                                       3 Salamsari
33.23.07.2004                                                                             4 Danurejo
33.23.07.2005                                                                             5 Mojotengah
33.23.07.2006                                                                             6 Karangtejo
33.23.07.2007                                                                             7 Mergowati
33.23.07.2008                                                                             8 Kutoanyar
33.23.07.2009                                                                             9 Kundisari
33.23.07.2010                                                                            10 Ngadimulyo
33.23.07.2011                                                                            11 Gondangwayang
33.23.07.2012                                                                            12 Bojonegoro
33.23.07.2013                                                                            13 Bandunggede
33.23.07.2014                                                                            14 Tegalsari
33.23.08.1001                                                     1 Parakan Wetan
33.23.08.2002                                                                             1 Campursalam
33.23.08.2003                                                                             2 Wanutengah
33.23.08.2004                                                                             3 Nglondong
33.23.08.2005                                                                             4 Bagusan
33.23.08.1006                                                     2 Parakan Kauman
33.23.08.2007                                                                             5 Dangkel
33.23.08.2008                                                                             6 Mandisari
33.23.08.2009                                                                             7 Tegalroso
33.23.08.2010                                                                             8 Traji
33.23.08.2011                                                                             9 Watukumpul
33.23.08.2012                                                                            10 Ringinanom
33.23.08.2013                                                                            11 Depokharjo
33.23.08.2014                                                                            12 Caturanom
33.23.08.2015                                                                            13 Glapansari
33.23.08.2016                                                                            14 Sunggingsari
33.23.09.2001                                                                             1 Ngadirejo
33.23.09.2002                                                                             2 Gondangwinangun
33.23.09.2003                                                                             3 Gandu Wetan
33.23.09.2004                                                                             4 Ngaren
33.23.09.2005                                                                             5 Mangunsari
33.23.09.2006                                                                            6 Dlimoyo
33.23.09.2007                                                                            7 Purbosari
33.23.09.2008                                                                            8 Campursari
33.23.09.2009                                                                            9 Tegalrejo
33.23.09.2010                                                                           10 Giripurno
33.23.09.2011                                                                           11 Katekan
33.23.09.2012                                                                           12 Banjarsari
33.23.09.2013                                                                           13 Medari
33.23.09.2014                                                                           14 Karanggedong
33.23.09.2015                                                                           15 Munggangsari
33.23.09.2016                                                                           16 Kataan
33.23.09.2017                                                                           17 Petirejo
33.23.09.2018                                                                           18 Pringapus
33.23.09.1019                                                      1 Manggong
33.23.09.2020                                                                           19 Gejagan
33.23.10.2001                                                                            1 Jumo
33.23.10.2002                                                                            2 Jamusan
33.23.10.2003                                                                            3 Kertosari
33.23.10.2004                                                                            4 Giyono
33.23.10.2005                                                                            5 Gununggempol
33.23.10.2006                                                                            6 Padureso
33.23.10.2007                                                                            7 Barang
33.23.10.2008                                                                            8 Jombor
33.23.10.2009                                                                            9 Ketitang
33.23.10.2010                                                                           10 Morobongo
33.23.10.2011                                                                           11 Karangtejo
33.23.10.2012                                                                           12 Sukomarto
33.23.10.2013                                                                           13 Gedongsari
33.23.11.2001                                                                            1 Tretep
33.23.11.2002                                                                            2 Donorojo
33.23.11.2003                                                                            3 Nglarangan
33.23.11.2004                                                                            4 Sigedong
33.23.11.2005                                                                            5 Bonjor
33.23.11.2006                                                                            6 Tempelsari
33.23.11.2007                                                                            7 Campurejo
33.23.11.2008                                                                            8 Bojong
33.23.11.2009                                                                            9 Bendungan
33.23.11.2010                                                                           10 Simpar
33.23.11.2011                                                                           11 Tlogo
33.23.12.2001                                                                            1 Candiroto
33.23.12.2002                                                                            2 Lempuyang
33.23.12.2003                                                                            3 Canggal
33.23.12.2004                                                                            4 Kentengsari
33.23.12.2005                                                                            5 Ngabeyan
33.23.12.2006                                                                            6 Bantir
33.23.12.2007                                                                            7 Krawitan
33.23.12.2008                                                                            8 Muntung
33.23.12.2009                                                                            9 Batursari
33.23.12.2010                                                                           10 Mento
33.23.12.2011                                                                           11 Muneng
33.23.12.2012                                                                           12 Plosogaden
33.23.12.2013                                                                           13 Sidoharjo
33.23.12.2014                                                                           14 Gunungpayung
33.23.13.1001                                                      1 Kranggan
33.23.13.2002                                                                            1 Badran
33.23.13.2003                                                                            2 Bengkal
33.23.13.2004                                                                            3 Pare
33.23.13.2005                                                                            4 Nguwet
33.23.13.2006                                                                            5 Ngropoh
33.23.13.2007                                                                            6 Pendowo
33.23.13.2008                                                                            7 Sanggrahan
33.23.13.2009                                                                            8 Klepu
33.23.13.2010                                                                            9 Kemloko
33.23.13.2011                                                                           10 Gentan
33.23.13.2012                                                                       11 Kramat
33.23.13.2013                                                                       12 Purwosari
33.23.14.2001                                                                        1 Tlogomulyo
33.23.14.2002                                                                        2 Candisari
33.23.14.2003                                                                        3 Sriwungu
33.23.14.2004                                                                        4 Langgeng
33.23.14.2005                                                                        5 Tanjungsari
33.23.14.2006                                                                        6 Losari
33.23.14.2007                                                                        7 Balerejo
33.23.14.2008                                                                        8 Kerokan
33.23.14.2009                                                                        9 Legoksari
33.23.14.2010                                                                       10 Tlilir
33.23.14.2011                                                                       11 Gedegan
33.23.14.2012                                                                       12 Pagersari
33.23.15.2001                                                                        1 Selopampang
33.23.15.2002                                                                        2 Tanggulanom
33.23.15.2003                                                                        3 Jetis
33.23.15.2004                                                                        4 Salamrejo
33.23.15.2005                                                                        5 Ngaditirto
33.23.15.2006                                                                        6 Bulan
33.23.15.2007                                                                        7 Kacepit
33.23.15.2008                                                                        8 Gambasan
33.23.15.2009                                                                        9 Bumiayu
33.23.15.2010                                                                       10 Kebonagung
33.23.15.2011                                                                       11 Bagusan
33.23.15.2012                                                                       12 Plumbon
33.23.16.2001                                                                        1 Bansari
33.23.16.2002                                                                        2 Mojosari
33.23.16.2003                                                                        3 Rejosari
33.23.16.2004                                                                        4 Gunungsari
33.23.16.2005                                                                        5 Balesari
33.23.16.2006                                                                        6 Purborejo
33.23.16.2007                                                                        7 Tlogowero
33.23.16.2008                                                                        8 Mranggen Kidul
33.23.16.2009                                                                        9 Mranggen Tengah
33.23.16.2010                                                                       10 Candisari
33.23.16.2011                                                                       11 Campuranom
33.23.16.2012                                                                       12 Gentingsari
33.23.16.2013                                                                       13 Tanurejo
33.23.17.2001                                                                        1 Kledung
33.23.17.2002                                                                        2 Kalirejo
33.23.17.2003                                                                        3 Paponan
33.23.17.2004                                                                        4 Jeketro
33.23.17.2005                                                                        5 Kwadungan Gunung
33.23.17.2006                                                                        6 Kwadungan Jurang
33.23.17.2007                                                                        7 Tlahab
33.23.17.2008                                                                        8 Petarangan
33.23.17.2009                                                                        9 Canggal
33.23.17.2010                                                                       10 Jambu
33.23.17.2011                                                                       11 Kruwisan
33.23.17.2012                                                                       12 Batursari
33.23.17.2013                                                                       13 Tuksari
33.23.18.2001                                                                        1 Bejen
33.23.18.2002                                                                        2 Banjarsari
33.23.18.2003                                                                        3 Jlegong
33.23.18.2004                                                                        4 Prangkokan
33.23.18.2005                                                                        5 Lowungu
33.23.18.2006                                                                        6 Larangan Luwok
33.23.18.2007                                                                        7 Congkrang
33.23.18.2008                                                                        8 Kebondalem
33.23.18.2009                                                                        9 Kemuning
33.23.18.2010                                                                       10 Selosabrang
33.23.18.2011                                                                       11 Tanjungsari
33.23.18.2012                                                                               12 Petung
33.23.18.2013                                                                               13 Duren
33.23.18.2014                                                                               14 Ngaliyan
33.23.19.2001                                                                                1 Wonoboyo
33.23.19.2002                                                                                2 Pateken                                      koreksi nama desa Rekom Pemdes No145/1820/SET tgl 15 nov
33.23.19.2003                                                                                3 Pitrosari
33.23.19.2004                                                                                4 Purwosari
33.23.19.2005                                                                                5 Kebonsari
33.23.19.2006                                                                                6 Semen
33.23.19.2007                                                                                7 Tening
33.23.19.2008                                                                                8 Wonocoyo
33.23.19.2009                                                                                9 Pesantren
33.23.19.2010                                                                               10 Rejosari
33.23.19.2011                                                                               11 Tawangsari
33.23.19.2012                                                                               12 Cemoro
33.23.19.2013                                                                               13 Wates
33.23.20.2001                                                                                1 Gemawang
33.23.20.2002                                                                                2 Muncar
33.23.20.2003                                                                                3 Kemiriombo
33.23.20.2004                                                                                4 Ngadisepi
33.23.20.2005                                                                                5 Krempong
33.23.20.2006                                                                                6 Sucen
33.23.20.2007                                                                                7 Karangseneng
33.23.20.2008                                                                                8 Banaran
33.23.20.2009                                                                                9 Kalibanger
33.23.20.2010                                                                               10 Jambon
33.24.01.2001                                                                                1 Blumah
33.24.01.2002                                                                                2 Kediten
33.24.01.2003                                                                                3 Tlogopayung
33.24.01.2004                                                                       4 Wonodadi
33.24.01.2005                                                                       5 Manggungmangu
33.24.01.2006                                                                       6 Tirtomulyo
33.24.01.2007                                                                       7 Karanganyar
33.24.01.2008                                                                       8 Jurangagung
33.24.01.2009                                                                       9 Jati
33.24.01.2010                                                                      10 Wadas
33.24.01.2011                                                                      11 Bendosari
33.24.01.2012                                                                      12 Mojoagung
33.24.02.2002                                                                       1 Getasblawong
33.24.02.2003                                                                       2 Parakan Sebaran                             Koreksi nama desa Srt Selda No. 060/589/Tapem/2016 tgl 21
33.24.02.2004                                                                       3 Petung
33.24.02.2005                                                                       4 Krikil
33.24.02.2006                                                                       5 Pucakwangi
33.24.02.2007                                                                       6 Pageruyung
33.24.02.2008                                                                       7 Tambahrejo
33.24.02.2009                                                                       8 Gebangan
33.24.02.2010                                                                       9 Surokonto Wetan
33.24.02.2011                                                                      10 Bangunsari
33.24.02.2012                                                                      11 Kebongembong
33.24.02.2013                                                                      12 Surokonto Kulon
33.24.02.2014                                                                      13 Pagergunung
33.24.02.2015                                                                      14 Gondoharum                                  PMD
33.24.03.2001                                                                       1 Gentinggunung
33.24.03.2002                                                                       2 Bringinsari
33.24.03.2003                                                                       3 Purwosari
33.24.03.2004                                                                       4 Ngargosari
33.24.03.2005                                                                       5 Pesaren
33.24.03.2006                                                                       6 Tamanrejo
33.24.03.2007                                                                       7 Harjodowo
33.24.03.2008                                                                       8 Peron
33.24.03.2009                                                                       9 Damarjati
33.24.03.2010                                                                      10 Mulyosari
33.24.03.2011                                                                      11 Kalipakis
33.24.03.2012                                                                      12 Trimulyo
33.24.03.2013                                                                      13 Selokaton
33.24.03.2014                                                                      14 Ngadiwarno
33.24.03.2015                                                                      15 Tampingwinarno
33.24.03.2016                                                                      16 Kebumen
33.24.03.2017                                                                      17 Sukorejo
33.24.03.2018                                                                      18 Kalibogor                                  Koreksi Srt Sekda Kab Kendal No. 060/589/Tepem/2016 tgl.21
33.24.04.2001                                                                       1 Pakisan
33.24.04.2002                                                                       2 Plososari
33.24.04.2003                                                                       3 Mlatiharjo
33.24.04.2004                                                                       4 Wirosari
33.24.04.2005                                                                       5 Pagersari
33.24.04.2006                                                                       6 Selo
33.24.04.2007                                                                       7 Curugsewu
33.24.04.2008                                                                       8 Gedong
33.24.04.2009                                                                       9 Sukomangli
33.24.04.2010                                                                      10 Kalibareng
33.24.04.2011                                                                      11 Kalilumpang
33.24.04.2012                                                                      12 Kalices
33.24.04.2013                                                                      13 Sidokumpul
33.24.04.2014                                                                      14 Sidodadi
33.24.05.2001                                                                       1 Cening
33.24.05.2002                                                                       2 Sukodadi
33.24.05.2003                                                                       3 Kaliputih
33.24.05.2004                                                                       4 Getas
33.24.05.2005                                                                       5 Banyuringin
33.24.05.2006                                                                       6 Kedungsari
33.24.05.2007                                                                       7 Ngareanak
33.24.05.2008                                                                       8 Singorojo
33.24.05.2009                                                                       9 Cacaban
33.24.05.2010                                                                      10 Kalirejo
33.24.05.2011                                                                      11 Merbuh
33.24.05.2012                                                                      12 Trayu
33.24.05.2013                                                                      13 Kertosari
33.24.06.2001                                                                       1 Kedungboto
33.24.06.2002                                                                       2 Peron
33.24.06.2003                                                                       3 Gondang
33.24.06.2004                                                                       4 Pakis
33.24.06.2005                                                                       5 Sumberahayu
33.24.06.2006                                                                       6 Tambahsari
33.24.06.2007                                                                       7 Limbangan
33.24.06.2008                                                                       8 Pagertoyo
33.24.06.2009                                                                       9 Sriwulan
33.24.06.2010                                                                      10 Tabet
33.24.06.2011                                                                      11 Ngesrepbalong
33.24.06.2012                                                                      12 Gonoharjo
33.24.06.2013                                                                      13 Jawisari
33.24.06.2014                                                                      14 Margosari
33.24.06.2015                                                                      15 Tamanrejo
33.24.06.2016                                                                      16 Pagerwojo                                 Koreksi nama desa Srt Selda No. 060/589/Tapem/2016 tgl 21
33.24.07.2001                                                                       1 Medono
33.24.07.2002                                                                       2 Pasigitan
33.24.07.2003                                                                       3 Banjarejo
33.24.07.2004                                                                       4 Leban
